Instument,Leverage,Commission Per Lot,Long Swaps,Short Swaps, Contract Size
HawaiianHL,5,0,0,0,  100 
Ryanair,5,0,0,0,  100 
Allegiant,5,0,0,0,  100 
WMusic,5,0,0,0,  100 
TakeTwo,5,0,0,0,  100 
Lululemon,5,0,0,0,  100 
DriveShack,5,0,0,0,  100 
ShakeShack,5,0,0,0,  100 
AMCentr,5,0,0,0,  100 
FreshPet,5,0,0,0,  100 
SRNETherap,5,0,0,0,  100 
Chewy,5,0,0,0,  100 
Carnival,5,0,0,0,  100 
GNUS,5,0,0,0,  100 
CarMax,5,0,0,0,  100 
HomeDepot,5,0,0,0,  100 
BlackBerry,5,0,0,0,  100 
DraftKings,5,0,0,0,  100 
CRIPSR,5,0,0,0,  100 
Splunk,5,0,0,0,  100 
DISCA,5,0,0,0,  100 
Zscaler,5,0,0,0,  100 
VirginG,5,0,0,0,  100 
Zuora,5,0,0,0,  100 
StitchFix,5,0,0,0,  100 
BeyondMeat,5,0,0,0,  100 
Pinterest,5,0,0,0,  100 
Twilio,5,0,0,0,  100 
Roku,5,0,0,0,  100 
Salesforce,5,0,0,0,  100 
SQUARE,5,0,0,0,  100 
ZYNGA,5,0,0,0,  100 
DicksSp,5,0,0,0,  100 
FootLocker,5,0,0,0,  100 
ETSY,5,0,0,0,  100 
DataDog,5,0,0,0,  100 
Workday,5,0,0,0,  100 
Fastly,5,0,0,0,  100 
Wayfair,5,0,0,0,  100 
AutoDesk,5,0,0,0,  100 
Redfin,5,0,0,0,  100 
Okta,5,0,0,0,  100 
Nutanix,5,0,0,0,  100 
ULTA,5,0,0,0,  100 
DollarTree,5,0,0,0,  100 
DocuSign,5,0,0,0,  100 
Teladoc,5,0,0,0,  100 
IntuitiveS,5,0,0,0,  100 
WIX,5,0,0,0,  100 
LEMONADE,5,0,0,0,  100 
NIKOLA,5,0,0,0,  100 
GOHEALTH,5,0,0,0,  100 
NCINO,5,0,0,0,  100 
UNG,5,0,0,0,  100 
UnileverNY,5,0,0,0,  100 
BlackRock,5,0,0,0,  100 
Shopify,5,0,0,0,  100 
HARMONY,5,0,0,0,  100 
HONEYWELL,5,0,0,0,  100 
NIO,5,0,0,0,  100 
RIOTINTO,5,0,0,0,  100 
BHPGROUP,5,0,0,0,  100 
Peloton,5,0,0,0,  100 
SNOWFLAKE,5,0,0,0,  100 
PROSUS,5,0,0,0,  100 
BOOHOO,5,0,0,0,  100 
EVOTEC,5,0,0,0,  100 
ADOBE,5,0,0,0,  100 
PAYPAL,5,0,0,0,  100 
PM,5,0,0,0,  100 
AIRBNB,5,0,0,0,  100 
INTESA,5,0,0,0,  100 
UNICREDIT,5,0,0,0,  100 
MEDIASET,5,0,0,0,  100 
SAIPEM,5,0,0,0,  100 
JUVENTUS,5,0,0,0,  100 
Stellantis,5,0,0,0,  100 
AMD,5,0,0,0,  100 
WASTE,5,0,0,0,  100 
JAGUARH,5,0,0,0,  100 
MICRONT,5,0,0,0,  100 
ENPHASE,5,0,0,0,  100 
FORTINET,5,0,0,0,  100 
NOVAVAX,5,0,0,0,  100 
ELECTRAMV,5,0,0,0,  30 
GAMESTOP,5,0,0,0,  100 
A.AIRLINES,5,0,0,0,  100 
COINBASE,5,0,0,0,  100 
VERANO,5,0,0,0,  100 
ROLLS-ROYCE,5,0,0,0,  100 
BAKER,5,0,0,0,  100 
TAIWANSMC,5,0,0,0,  100 
SPDR500,5,0,0,0,  100 
OCUGEN,5,0,0,0,  100 
ZIVOBIO,5,0,0,0,  100 
TORCHLIGHT (MATERIALISE),5,0,0,0,  100 
FIRSTSOLAR,5,0,0,0,  100 
SolarEdge,5,0,0,0,  100 
FISKER,5,0,0,0,  100 
EHANG,5,0,0,0,  100 
NEXTERA,5,0,0,0,  100 
BROOKFIELD,5,0,0,0,  100 
PlugPower,5,0,0,0,  100 
Opendoor,5,0,0,0,  100 
LucidGroup,5,0,0,0,  100 
AvePoint,5,0,0,0,  100 
ROBINHOOD,5,0,0,0,  100 
AGNCInvest,5,0,0,0,  100 
CANOO,5,0,0,0,  100 
BOOTBARN,5,0,0,0,  100 
ELEMENTS,5,0,0,0,  100 
INNOVATIVE,5,0,0,0,  100 
KORNIT,5,0,0,0,  100 
VERITIV,5,0,0,0,  100 
DOXIMITY,5,0,0,0,  100 
ALTRIA,5,0,0,0,  100 
UNICORP,5,0,0,0,  100 
LVMH,5,0,0,0,  100 
COUPANG,5,0,0,0,  100 
COHENCOMP,5,0,0,0,  100 
CHINAREC,5,0,0,0,  100 
THENINE,5,0,0,0,  100 
LithiumAmericas,5,0,0,0,  100 
Livent,5,0,0,0,  100 
RiotBlock,5,0,0,0,  100 
Marathon,5,0,0,0,  100 
Lightning,5,0,0,0,  100 
DidiGlobal,5,0,0,0,  100 
Bilibili,5,0,0,0,  100 
Canann,5,0,0,0,  100 
NewChinaIns,5,0,0,0,  100 
Fortress,5,0,0,0,  100 
MRK,5,0,0,0,  100 
CHEMOCEN,5,0,0,0,  100 
EQONEX,5,0,0,0,  100 
RIVIAN,5,0,0,0,  100 
YALLAGROUP,5,0,0,0,  100 
JUNIPER,5,0,0,0,  100 
MOODYS,5,0,0,0,  100 
DAVITA,5,0,0,0,  100 
VERISIGN,5,0,0,0,  100 
SIRIUS,5,0,0,0,  100 
CHARTER,5,0,0,0,  100 
STONECO,5,0,0,0,  100 
Dior,5,0,0,0,  100 
Hermes,5,0,0,0,  100 
Kering,5,0,0,0,  100 
Airbus,5,0,0,0,  100 
Unity,5,0,0,0,  100 
NUHOLDS,5,0,0,0,  100 
OXYPETRO,5,0,0,0,  100 
Kroger,5,0,0,0,  100 
CHIPOTLE,5,0,0,0,  100 
ANGHAMI,5,0,0,0,  100 
HPACKEnt,5,0,0,0,  100 
Tkag,5,0,0,0,  100 
