,Silver,Gold ,Platinum ,Diamond ,Islamic
,,,,,
Instrument,Spread in Pip Starting From:,Spread in Points Starting From:,Spread in Points Starting From:,Spread in Points Starting From:,Spread in Pip Starting From:
XAUUSD ,5.7,5.7,5.7,5.7,5.7
XAGUSD ,5.7,5.7,5.7,5.7,5.7
ALUMINUM,13.5,13.5,13.5,13.5,13.5
ZINC,133.5,133.5,133.5,133.5,133.5
