,Silver,Gold ,Platinum ,Diamond ,Islamic
,,,,,
Instrument,Spread in Pip Starting From:,Spread in Points Starting From:,Spread in Points Starting From:,Spread in Points Starting From:,Spread in Pip Starting From:
USOIL,0.5,0.5,0.5,0.5,0.5
BRENTOIL,0.9,0.9,0.9,0.9,0.9
